"x"	"y"	"pointID"	"ancID"	"anc.x"	"anc.y"	"lake"
-849490.62247857	2086357.25561925	33	3	-849490.757858685	2086376.44111618	"BRK"
-849486.283189074	2086361.86291435	34	3	-849490.757858685	2086376.44111618	"BRK"
-849520.078994315	2086458.83703566	35	3	-849490.757858685	2086376.44111618	"BRK"
-849504.119848644	2086202.14621806	36	3	-849490.757858685	2086376.44111618	"BRK"
-849635.373249295	2086388.90583923	37	3	-849490.757858685	2086376.44111618	"BRK"
-849079.195023268	2086298.30043924	1	4	-849079.171347788	2086326.81159969	"BRK"
-849090.08489207	2086323.06262595	2	4	-849079.171347788	2086326.81159969	"BRK"
-849097.427264328	2086308.61675674	3	4	-849079.171347788	2086326.81159969	"BRK"
-849035.956319015	2086503.7410465	4	4	-849079.171347788	2086326.81159969	"BRK"
-849101.635487806	2086220.29092033	5	4	-849079.171347788	2086326.81159969	"BRK"
-849090.969811793	2086299.8035036	6	4	-849079.171347788	2086326.81159969	"BRK"
-849094.833406987	2086301.95491012	7	4	-849079.171347788	2086326.81159969	"BRK"
-849105.608297627	2086315.31228117	8	4	-849079.171347788	2086326.81159969	"BRK"
-849103.046790813	2086320.21535639	9	4	-849079.171347788	2086326.81159969	"BRK"
-849092.230893485	2086323.8504993	10	4	-849079.171347788	2086326.81159969	"BRK"
-849028.907308826	2086166.51261415	11	4	-849079.171347788	2086326.81159969	"BRK"
-849083.052824706	2086223.8796196	12	4	-849079.171347788	2086326.81159969	"BRK"
-849134.601620538	2086337.49161888	13	4	-849079.171347788	2086326.81159969	"BRK"
-849063.275205317	2086287.66245718	14	4	-849079.171347788	2086326.81159969	"BRK"
-849219.420078138	2086178.86271688	15	4	-849079.171347788	2086326.81159969	"BRK"
-849071.073490414	2086171.93984358	16	4	-849079.171347788	2086326.81159969	"BRK"
-849077.033816785	2086255.81552315	17	4	-849079.171347788	2086326.81159969	"BRK"
-849109.322075674	2086304.92823011	18	4	-849079.171347788	2086326.81159969	"BRK"
-849159.46236436	2086329.47464305	19	4	-849079.171347788	2086326.81159969	"BRK"
-849085.784339952	2086311.73484369	20	4	-849079.171347788	2086326.81159969	"BRK"
-849105.531875271	2086292.65099634	21	4	-849079.171347788	2086326.81159969	"BRK"
-848982.621569413	2086240.97831616	22	4	-849079.171347788	2086326.81159969	"BRK"
-849005.291610074	2086216.27053293	23	4	-849079.171347788	2086326.81159969	"BRK"
-849092.138612726	2086306.16159353	24	4	-849079.171347788	2086326.81159969	"BRK"
-849099.243645546	2086252.80771385	25	4	-849079.171347788	2086326.81159969	"BRK"
-848827.41421797	2086291.83919417	26	4	-849079.171347788	2086326.81159969	"BRK"
-849076.062815078	2086314.17552497	27	4	-849079.171347788	2086326.81159969	"BRK"
-849154.991688683	2086327.68029949	28	4	-849079.171347788	2086326.81159969	"BRK"
-849151.494252251	2086300.02453805	29	4	-849079.171347788	2086326.81159969	"BRK"
-849096.858468171	2086333.06343115	30	4	-849079.171347788	2086326.81159969	"BRK"
-848952.971035808	2086167.86982285	31	4	-849079.171347788	2086326.81159969	"BRK"
-849016.030219821	2086475.64229033	32	4	-849079.171347788	2086326.81159969	"BRK"
-849098.151406812	2086273.05590333	33	4	-849079.171347788	2086326.81159969	"BRK"
-849160.039847298	2086333.72228617	34	4	-849079.171347788	2086326.81159969	"BRK"
-849117.318235347	2086295.40137826	35	4	-849079.171347788	2086326.81159969	"BRK"
-849062.720406824	2086289.49190082	36	4	-849079.171347788	2086326.81159969	"BRK"
-849231.854422417	2086147.31148791	37	4	-849079.171347788	2086326.81159969	"BRK"
-849101.855466992	2086234.89167925	38	4	-849079.171347788	2086326.81159969	"BRK"
-847473.185778039	2099571.39579446	1	1	-847460.644095713	2099598.81457591	"CRT"
-847464.768183971	2099581.22543284	2	1	-847460.644095713	2099598.81457591	"CRT"
-847424.63459022	2099588.69854298	3	1	-847460.644095713	2099598.81457591	"CRT"
-847434.012709773	2099595.09041989	4	1	-847460.644095713	2099598.81457591	"CRT"
-847445.552834226	2099574.51785098	5	1	-847460.644095713	2099598.81457591	"CRT"
